Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Names (ordered locus)	Organism	Length	Gene Ontology IDs	Transmembrane	Intramembrane
P16033	reviewed	PSBA2_SYNY3	Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2)	psbA2 psbA-2 slr1311; psbA3 psbA-3 sll1867	slr1311; sll1867	Synechocystis sp. (strain PCC 6803 / Kazusa)	360	GO:0005506; GO:0009635; GO:0009772; GO:0010242; GO:0016168; GO:0016682; GO:0030096; GO:0031676; GO:0045156	TRANSMEM 32..53; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 111..134; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 143..161; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 192..218; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 271..295; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"	
P72656	reviewed	RNE_SYNY3	Ribonuclease E (RNase E) (SynRne) (EC 3.1.26.12) (Ribonuclease E/G)	rne slr1129	slr1129	Synechocystis sp. (strain PCC 6803 / Kazusa)	674	GO:0000049; GO:0004519; GO:0004540; GO:0005737; GO:0005886; GO:0006364; GO:0008033; GO:0019843; GO:0046872; GO:0051607		
P72932	reviewed	HLID_SYNY3	High light-inducible protein HliD (Small Cab-like protein ScpE)	hliD hliA scpE ssr1789	ssr1789	Synechocystis sp. (strain PCC 6803 / Kazusa)	57	GO:0010117; GO:0016020; GO:0016168; GO:0031409; GO:1990066	TRANSMEM 25..46; /note="Helical"; /evidence="ECO:0000305|PubMed:29280045"	
P73048	reviewed	PSBQ_SYNY3	CyanoQ (Photosystem II lipoprotein PsbQ)	psbQ sll1638	sll1638	Synechocystis sp. (strain PCC 6803 / Kazusa)	149	GO:0005509; GO:0009654; GO:0015979; GO:0019898; GO:0030096		
P73183	reviewed	HLIA_SYNY3	High light-inducible protein HliA (Small Cab-like protein ScpC)	hliA scpC ssl2542	ssl2542	Synechocystis sp. (strain PCC 6803 / Kazusa)	70	GO:0010207; GO:0016168; GO:0042651; GO:1990066	TRANSMEM 31..58; /note="Helical"; /evidence="ECO:0000305|PubMed:35279779"	
P73276	reviewed	HIK2_SYNY3	Sensor histidine kinase Hik2 (EC 2.7.13.3) (CSK)	hik2 slr1147	slr1147	Synechocystis sp. (strain PCC 6803 / Kazusa)	434	GO:0000155; GO:0005737; GO:0046872; GO:0051538		
P73911	reviewed	KATG_SYNY3	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	katG sll1987	sll1987	Synechocystis sp. (strain PCC 6803 / Kazusa)	754	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872		
P74383	reviewed	ASGX_SYNY3	Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase subunit alpha; Isoaspartyl peptidase/L-asparaginase subunit beta]	sll0422	sll0422	Synechocystis sp. (strain PCC 6803 / Kazusa)	329	GO:0006508; GO:0008798		
P80505	reviewed	G3P2_SYNY3	Glyceraldehyde-3-phosphate dehydrogenase 2 (EC 1.2.1.59) (GAPDH 2) (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	gap2 sll1342	sll1342	Synechocystis sp. (strain PCC 6803 / Kazusa)	337	GO:0004365; GO:0005737; GO:0006006; GO:0006096; GO:0047100; GO:0050661; GO:0051287		
Q55013	reviewed	CY550_SYNY3	Photosystem II extrinsic protein V (PsbV) (Cytochrome c-550) (Cytochrome c549) (Cytochrome c550) (Low-potential cytochrome c)	psbV petK sll0258	sll0258	Synechocystis sp. (strain PCC 6803 / Kazusa)	160	GO:0005506; GO:0009055; GO:0019684; GO:0020037; GO:0022904; GO:0030096; GO:0031676		
Q55168	reviewed	PHY1_SYNY3	Phytochrome-like protein Cph1 (EC 2.7.13.3) (Bacteriophytochrome Cph1) (Light-regulated histidine kinase 1)	cph1 slr0473	slr0473	Synechocystis sp. (strain PCC 6803 / Kazusa)	748	GO:0000155; GO:0004673; GO:0005524; GO:0006355; GO:0009584; GO:0009585; GO:0009639; GO:0009883; GO:0042802; GO:0046777		
Q55415	reviewed	BICA_SYNY3	Bicarbonate transporter BicA	bicA sll0834	sll0834	Synechocystis sp. (strain PCC 6803 / Kazusa)	564	GO:0005886; GO:0006814; GO:0015138; GO:0015141; GO:0015183; GO:0015741; GO:0046872; GO:0071422	TRANSMEM 12..37; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 41..58; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 71..86; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 91..112; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 123..145; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 171..185; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 197..211; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 241..269; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 276..292; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 303..312; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 316..338; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 342..357; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 370..390; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"; TRANSMEM 393..405; /note="Helical"; /evidence="ECO:0000269|PubMed:31712753"	
Q55721	reviewed	FBT_SYNY3	Folate-biopterin transporter	slr0642	slr0642	Synechocystis sp. (strain PCC 6803 / Kazusa)	494	GO:0005886; GO:0008517; GO:0015231; GO:0015350; GO:0015884; GO:0015885; GO:0051958	TRANSMEM 31..51; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 64..84; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 104..124; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 133..153; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 170..190; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 197..217; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 246..266; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 284..303; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 310..330; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 346..366; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 375..395; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 415..435; /note="Helical"; /evidence="ECO:0000255"	
P09191	reviewed	PSBF_SYNY3	Cytochrome b559 subunit beta (PSII reaction center subunit VI)	psbF smr0006	smr0006	Synechocystis sp. (strain PCC 6803 / Kazusa)	44	GO:0005506; GO:0009055; GO:0009539; GO:0009767; GO:0020037; GO:0030096; GO:0031676; GO:0042802	TRANSMEM 17..41; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"	
P29255	reviewed	PSAB_SYNY3	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	psaB slr1835	slr1835	Synechocystis sp. (strain PCC 6803 / Kazusa)	731	GO:0000287; GO:0009055; GO:0015979; GO:0016168; GO:0030094; GO:0031676; GO:0051539	TRANSMEM 46..69; /note="Helical; Name=I"; /evidence="ECO:0000255"; TRANSMEM 135..158; /note="Helical; Name=II"; /evidence="ECO:0000255"; TRANSMEM 175..199; /note="Helical; Name=III"; /evidence="ECO:0000255"; TRANSMEM 273..291; /note="Helical; Name=IV"; /evidence="ECO:0000255"; TRANSMEM 328..351; /note="Helical; Name=V"; /evidence="ECO:0000255"; TRANSMEM 367..393; /note="Helical; Name=VI"; /evidence="ECO:0000255"; TRANSMEM 415..437; /note="Helical; Name=VII"; /evidence="ECO:0000255"; TRANSMEM 514..532; /note="Helical; Name=VIII"; /evidence="ECO:0000255"; TRANSMEM 572..593; /note="Helical; Name=IX"; /evidence="ECO:0000255"; TRANSMEM 640..662; /note="Helical; Name=X"; /evidence="ECO:0000255"; TRANSMEM 704..724; /note="Helical; Name=XI"; /evidence="ECO:0000255"	
P52231	reviewed	THIO_SYNY3	Thioredoxin (Trx)	trxA slr0623	slr0623	Synechocystis sp. (strain PCC 6803 / Kazusa)	107	GO:0005737; GO:0015035		
P74308	reviewed	AKR_SYNY3	Aldo/keto reductase slr0942 (AKR) (EC 1.1.1.184) (AKR3G1)	slr0942	slr0942	Synechocystis sp. (strain PCC 6803 / Kazusa)	327	GO:0004032; GO:0004033; GO:0004090; GO:0005829; GO:0070402		
P74312	reviewed	ARREH_SYNY3	NADPH-dependent quinone reductase ArsH (EC 1.6.5.2) (Arsenical resistance operon protein ArsH)	arsH slr0945	slr0945	Synechocystis sp. (strain PCC 6803 / Kazusa)	206	GO:0003955; GO:0005829; GO:0008753; GO:0010038; GO:0010181; GO:0050136; GO:0051289; GO:0052851		
Q55389	reviewed	FTRC_SYNY3	Ferredoxin-thioredoxin reductase, catalytic chain (FTR-C) (EC 1.8.7.2) (Ferredoxin-thioredoxin reductase subunit B) (FTR-B)	ftrC sll0554		Synechocystis sp. (strain PCC 6803 / Kazusa)	118	GO:0009055; GO:0015979; GO:0016730; GO:0046872; GO:0051539; GO:0103012		
Q55835	reviewed	FUTA2_SYNY3	Iron uptake protein A2 (Iron deficiency-induced protein A) (PP2)	futA2 idiA slr0513	slr0513	Synechocystis sp. (strain PCC 6803 / Kazusa)	346	GO:0030288; GO:0031676; GO:0034755; GO:0046872		
P27320	reviewed	FER_SYNY3	Ferredoxin-1 (Ferredoxin I)	petF fed ssl0020	ssl0020	Synechocystis sp. (strain PCC 6803 / Kazusa)	97	GO:0009055; GO:0046872; GO:0051537		
P29107	reviewed	ILVC_SYNY3	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	ilvC sll1363	sll1363	Synechocystis sp. (strain PCC 6803 / Kazusa)	331	GO:0000287; GO:0004455; GO:0005829; GO:0009097; GO:0009099; GO:0050661		
P72758	reviewed	CCMM_SYNY3	Carboxysome assembly protein CcmM (CcmM73) (M73) (Carbon dioxide concentrating mechanism protein CcmM)	ccmM sll1031	sll1031	Synechocystis sp. (strain PCC 6803 / Kazusa)	687	GO:0015977; GO:0015979; GO:0031470; GO:0043886		
P73069	reviewed	YCF48_SYNY3	Photosystem II assembly lipoprotein Ycf48	ycf48 slr2034	slr2034	Synechocystis sp. (strain PCC 6803 / Kazusa)	342	GO:0009523; GO:0010207; GO:0031676; GO:0031977		
P73832	reviewed	CPHB_SYNY3	Cyanophycinase (EC 3.4.15.6)	cphB slr2001	slr2001	Synechocystis sp. (strain PCC 6803 / Kazusa)	271	GO:0006508; GO:0008236; GO:0042803		
P74313	reviewed	ARSC_SYNY3	Glutaredoxin arsenate reductase (EC 1.20.4.1) (Low molecular weight protein-tyrosine-phosphatase) (EC 3.1.3.48) (Protein ArsC) (SynArsC) (rSynArsC)	arsC slr0946	slr0946	Synechocystis sp. (strain PCC 6803 / Kazusa)	131	GO:0004725; GO:0008794; GO:0046685		
P77961	reviewed	GLN1B_SYNY3	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)	glnA slr1756	slr1756	Synechocystis sp. (strain PCC 6803 / Kazusa)	473	GO:0004356; GO:0005524; GO:0005737; GO:0006542; GO:0016020; GO:0019676; GO:0019740; GO:0046872		
P80507	reviewed	IPYR_SYNY3	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	ppa ipyR slr1622	slr1622	Synechocystis sp. (strain PCC 6803 / Kazusa)	169	GO:0000287; GO:0004427; GO:0005737; GO:0006796		
Q54735	reviewed	CYNT_SYNY3	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	ccaA icfA slr1347	slr1347	Synechocystis sp. (strain PCC 6803 / Kazusa)	274	GO:0004089; GO:0008270; GO:0009440; GO:0015976; GO:0015977; GO:0015979; GO:0031470; GO:0042802		
Q55354	reviewed	PSBL_SYNY3	Photosystem II reaction center protein L (PSII-L)	psbL smr0007	smr0007	Synechocystis sp. (strain PCC 6803 / Kazusa)	39	GO:0009539; GO:0015979; GO:0030096; GO:0031676	TRANSMEM 16..37; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"	
Q55650	reviewed	BIOU_SYNY3	(S)-8-amino-7-oxononanoate synthase BioU (EC 2.6.1.121) (8-amino-7-oxononanoate carboxylating dehydrogenase)	bioU slr0355	slr0355	Synechocystis sp. (strain PCC 6803 / Kazusa)	331	GO:0006520; GO:0008483; GO:0009102; GO:0016491; GO:0050661; GO:0051287		
P10549	reviewed	PSBO_SYNY3	Photosystem II extrinsic protein O (PsbO) (Photosystem II manganese-stabilizing polypeptide) (MSP)	psbO psb1 sll0427	sll0427	Synechocystis sp. (strain PCC 6803 / Kazusa)	274	GO:0009654; GO:0010207; GO:0010242; GO:0030096; GO:0031676; GO:0042549		
P19125	reviewed	NDHJ_SYNY3	NAD(P)H-quinone oxidoreductase subunit J (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit J) (NADH-plastoquinone oxidoreductase subunit J) (NDH-1 subunit J) (NDH-J) (ORF 155)	ndhJ slr1281	slr1281	Synechocystis sp. (strain PCC 6803 / Kazusa)	179	GO:0008137; GO:0019684; GO:0031676; GO:0048038		
P22034	reviewed	CH602_SYNY3	Chaperonin GroEL 2 (EC 5.6.1.7) (60 kDa chaperonin 2) (Chaperonin-60 2) (Cpn60 2)	groEL2 cpn60-2 groL2 sll0416	sll0416	Synechocystis sp. (strain PCC 6803 / Kazusa)	552	GO:0005524; GO:0009408; GO:0016853; GO:0042026; GO:0051082; GO:0051085; GO:0140662; GO:1990220		
P26533	reviewed	ATPE_SYNY3	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC atpE slr1330	slr1330	Synechocystis sp. (strain PCC 6803 / Kazusa)	136	GO:0005524; GO:0015986; GO:0031676; GO:0045260; GO:0045261; GO:0046933		
P54225	reviewed	HEMH_SYNY3	Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase) (Small Cab-like protein ScpA)	hemH scpA slr0839	slr0839	Synechocystis sp. (strain PCC 6803 / Kazusa)	387	GO:0004325; GO:0005737; GO:0006783; GO:0046872		
P72575	reviewed	PSBX_SYNY3	Photosystem II reaction center protein X	psbX sml0002	sml0002	Synechocystis sp. (strain PCC 6803 / Kazusa)	39	GO:0015979; GO:0030096; GO:0031676	TRANSMEM 5..28; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"	
P72760	reviewed	CCMK1_SYNY3	Carboxysome shell protein CcmK1 (Carbon dioxide-concentrating mechanism protein CcmK1)	ccmK1 sll1029	sll1029	Synechocystis sp. (strain PCC 6803 / Kazusa)	111	GO:0015977; GO:0015979; GO:0031470; GO:0043886		
P72848	reviewed	HEM6_SYNY3	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	hemF sll1185	sll1185	Synechocystis sp. (strain PCC 6803 / Kazusa)	340	GO:0004109; GO:0005737; GO:0006782; GO:0015995; GO:0042803; GO:0046872		
P73241	reviewed	ATCS_SYNY3	Probable copper-transporting ATPase PacS (EC 7.2.2.8)	pacS sll1920	sll1920	Synechocystis sp. (strain PCC 6803 / Kazusa)	745	GO:0005507; GO:0005524; GO:0005886; GO:0015677; GO:0016020; GO:0016887; GO:0043682; GO:0055070; GO:0140581	TRANSMEM 95..115; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 126..145; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 153..173; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 194..214; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 343..365; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 373..390; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 544..564; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 688..707; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 720..738; /note="Helical"; /evidence="ECO:0000255"	
P73407	reviewed	CCMK4_SYNY3	Carboxysome shell protein CcmK4 (Carbon dioxide-concentrating mechanism protein CcmK4)	ccmK4 slr1839	slr1839	Synechocystis sp. (strain PCC 6803 / Kazusa)	112	GO:0015977; GO:0015979; GO:0031470; GO:0043886		
P73437	reviewed	FTSH4_SYNY3	ATP-dependent zinc metalloprotease FtsH 4 (EC 3.4.24.-)	ftsH4 sll1463	sll1463	Synechocystis sp. (strain PCC 6803 / Kazusa)	628	GO:0004176; GO:0004222; GO:0005524; GO:0006508; GO:0008270; GO:0009579; GO:0016887; GO:0030163; GO:0031676	TRANSMEM 15..35; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01458"; TRANSMEM 120..140; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01458"	
P73456	reviewed	FTSZ_SYNY3	Cell division protein FtsZ	ftsZ sll1633	sll1633	Synechocystis sp. (strain PCC 6803 / Kazusa)	430	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0032506; GO:0042802; GO:0043093; GO:0051258; GO:0051301		
P73810	reviewed	TOP1_SYNY3	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA slr2058	slr2058	Synechocystis sp. (strain PCC 6803 / Kazusa)	898	GO:0003677; GO:0003917; GO:0006265; GO:0046872		
P73952	reviewed	PSBP_SYNY3	CyanoP (Photosystem II lipoprotein PsbP)	psbP sll1418	sll1418	Synechocystis sp. (strain PCC 6803 / Kazusa)	188	GO:0005509; GO:0009654; GO:0015979; GO:0019898		
P74155	reviewed	YIDC_SYNY3	Membrane protein insertase YidC (Alb3) (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC) (Oxa1) (SynYidC)	yidC alb3 slr1471	slr1471	Synechocystis sp. (strain PCC 6803 / Kazusa)	384	GO:0005886; GO:0015031; GO:0032977; GO:0051205	TRANSMEM 12..32; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 96..116; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 311..331; /note="Helical"; /evidence="ECO:0000255"	
P74181	reviewed	GGT_SYNY3	Glutathione hydrolase proenzyme (EC 3.4.19.13) (Gamma-glutamyltranspeptidase proenzyme) (EC 2.3.2.2) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]	ggt slr1269	slr1269	Synechocystis sp. (strain PCC 6803 / Kazusa)	518	GO:0006508; GO:0006750; GO:0006751; GO:0036374; GO:0103068		
P74250	reviewed	GPX1_SYNY3	Hydroperoxy fatty acid reductase gpx1 (EC 1.11.1.22)	gpx1 slr1171	slr1171	Synechocystis sp. (strain PCC 6803 / Kazusa)	169	GO:0004602; GO:0034599		
P74625	reviewed	CPCL_SYNY3	Photosystem I-associated linker protein CpcL (Phycobilisome rod-core linker polypeptide CpcG2)	cpcL cpcG2 sll1471	sll1471	Synechocystis sp. (strain PCC 6803 / Kazusa)	249	GO:0015979; GO:0030089; GO:0031676	TRANSMEM 223..247; /note="Helical"; /evidence="ECO:0000255"	
Q06474	reviewed	COX2_SYNY3	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome aa3 subunit 2) (Cytochrome c oxidase polypeptide II) (Oxidase aa(3) subunit 2)	ctaC coxB slr1136	slr1136	Synechocystis sp. (strain PCC 6803 / Kazusa)	332	GO:0004129; GO:0005507; GO:0005886; GO:0042773; GO:0070469	TRANSMEM 48..68; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 87..107; /note="Helical"; /evidence="ECO:0000255"	
Q55370	reviewed	MOCBA_SYNY3	Molybdenum cofactor biosynthesis bifunctional protein [Includes: Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C); Probable molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)]	moaC/mobA slr0902	slr0902	Synechocystis sp. (strain PCC 6803 / Kazusa)	347	GO:0005525; GO:0005737; GO:0006777; GO:0016779; GO:0046872; GO:0061603; GO:0061799		
Q55756	reviewed	CARB_SYNY3	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB sll0370	sll0370	Synechocystis sp. (strain PCC 6803 / Kazusa)	1081	GO:0004088; GO:0005524; GO:0005737; GO:0006526; GO:0006541; GO:0044205; GO:0046872		
